Angle,Static Z,Angled Z,Calculated Z,Static Accuracy,Angled Accuracy
34.16,1,0.89,0.5,49.9,56.18
14.12,1,0.01,0.62,62.0,-5043.14
34.44,1,0.95,0.5,49.7,52.27
13.66,1,0.0,0.62,62.1,-inf
33.82,1,0.71,0.5,49.8,69.9
13.02,1,0.54,0.62,62.0,85.05
34.04,1,0.84,0.5,49.5,58.88
12.8,1,0.58,0.62,61.9,93.83
33.69,1,0.62,0.5,50.0,80.08
12.83,1,0.58,0.62,62.2,92.91
34.06,1,0.85,0.5,49.7,58.51
12.48,1,0.0,0.0,0.0,nan
34.13,1,0.88,0.5,49.6,56.38
12.33,1,0.59,0.62,62.2,94.74
33.71,1,0.65,0.5,49.7,76.91
12.19,1,0.0,0.0,0.0,nan
33.64,1,0.59,0.5,49.7,84.11
12.39,1,0.0,0.62,62.4,-inf
33.96,1,0.8,0.49,49.4,61.98
12.22,1,0.0,0.63,62.8,-inf
33.55,1,0.52,0.5,49.6,95.91
33.9,1,0.77,0.5,49.6,64.41
12.18,1,0.57,0.62,62.5,89.48
12.23,1,0.57,0.62,62.4,91.12
33.95,1,0.79,0.5,49.5,62.74
33.82,1,0.72,0.49,49.2,68.04
12.21,1,0.0,0.0,0.0,nan
11.98,1,0.0,0.0,0.0,nan
34.11,1,0.87,0.49,49.1,56.47
12.16,1,0.56,0.62,62.4,88.05
33.87,1,0.75,0.49,49.3,66.14
12.14,1,0.55,0.0,0.0,0.0
33.77,1,0.68,0.5,50.4,74.2
12.93,1,0.57,0.63,63.2,89.72
36.14,1,0.01,0.0,0.0,0.0
13.12,1,0.0,0.64,63.9,-inf
35.84,1,0.0,0.92,91.9,-inf
12.78,1,0.0,0.42,41.9,-inf
14.25,1,0.07,0.63,63.0,-744.9
35.98,1,0.12,0.93,92.7,-544.45
13.95,1,0.0,0.0,0.0,nan
33.69,1,0.63,0.0,0.0,0.0
36.32,1,0.17,0.9,90.0,-333.94
13.72,1,0.24,0.62,61.5,-52.38
32.99,1,0.01,0.0,0.0,0.0
36.42,1,0.26,0.9,90.2,-153.43
13.26,1,0.47,0.62,61.5,69.81
35.98,1,0.13,0.92,92.1,-517.59
32.59,1,0.37,0.0,0.0,0.0
12.74,1,0.6,0.62,62.0,97.06
33.24,1,0.24,0.0,0.0,0.0
35.83,1,0.26,0.92,92.4,-151.14
12.89,1,0.58,0.62,62.2,93.27
35.81,1,0.28,0.93,92.7,-130.0
32.97,1,0.01,0.0,0.0,0.0
12.81,1,0.6,0.62,62.0,96.67
35.82,1,0.26,0.91,91.2,-145.88
32.64,1,0.33,0.69,69.1,-10.28
13.44,1,0.0,0.62,61.5,-inf
36.1,1,0.02,0.92,92.0,-3512.47
34.16,1,0.89,0.64,64.0,71.67
13.03,1,0.55,0.62,62.3,87.54
36.11,1,0.01,0.91,91.4,-6430.39
33.2,1,0.21,0.0,0.0,0.0
12.85,1,0.6,0.63,63.2,93.86
36.21,1,0.08,0.93,92.5,-1011.49
32.48,1,0.48,0.0,0.0,0.0
13.71,1,0.26,0.63,63.2,-47.03
33.65,1,0.59,0.0,0.0,0.0
36.39,1,0.23,0.93,92.7,-209.82
13.09,1,0.54,0.64,63.8,81.39
36.34,1,0.18,0.91,91.2,-304.35
33.2,1,0.21,0.0,0.0,-0.0
13.44,1,0.4,0.64,63.5,42.34
32.27,1,0.64,0.0,0.0,0.0
13.41,1,0.42,0.64,63.5,47.7
35.46,1,0.55,0.93,93.4,30.55
33.59,1,0.0,0.0,0.0,nan
13.57,1,0.34,0.63,63.4,12.03
36.06,1,0.06,0.92,92.3,-1364.98
33.63,1,0.0,0.0,0.0,nan
13.41,1,0.41,0.63,63.3,47.28
36.02,1,0.09,0.92,92.0,-784.51
33.05,1,0.06,0.0,0.0,0.0
13.34,1,0.45,0.64,63.5,57.47
36.02,1,0.1,0.93,92.5,-736.29
33.41,1,0.0,0.0,0.0,nan
13.05,1,0.55,0.63,63.3,85.45
33.01,1,0.02,0.0,0.0,0.0
13.2,1,0.5,0.63,63.3,73.95
36.11,1,0.02,0.92,92.1,-5735.84
32.31,1,0.61,0.0,0.0,0.0
13.83,1,0.16,0.55,54.8,-133.32
13.03,1,0.56,0.63,62.7,87.15
33.14,1,0.15,0.65,64.6,-237.57
